Study_Hours,Attendance,Previous_Score,Assignments_Score,Final_Marks
,58.2,46.7,75.8,58.8
1.9,56.4,63.0,79.2,52.8
5.4,66.6,81.3,93.3,70.8
5.3,,43.9,74.7,55.5
2.6,94.1,44.4,77.9,60.8
4.9,87.7,59.5,49.4,53.9
4.6,88.4,91.8,68.4,70.9
6.5,74.1,76.8,83.0,71.7
6.7,70.6,77.3,56.3,62.5
1.4,71.7,59.9,52.1,40.8
4.4,99.4,72.7,58.8,65.5
6.6,56.8,40.6,54.5,50.3
5.5,94.0,75.0,52.9,67.0
8.7,81.0,90.2,65.5,74.8
6.9,74.7,73.7,94.5,79.9
2.5,87.6,88.1,70.4,61.4
1.6,76.9,79.8,51.3,61.8
6.8,94.3,46.6,44.6,49.2
1.2,95.5,89.6,81.8,69.1
6.3,74.0,43.7,63.0,58.2
9.5,67.5,69.4,89.3,72.6
6.2,81.7,47.8,79.6,64.5
4.5,96.1,40.6,87.8,67.1
6.8,64.5,63.2,56.3,49.6
5.1,83.0,56.2,81.5,65.7
5.9,83.4,66.7,55.8,50.7
9.5,88.0,71.7,96.3,78.0
4.5,60.9,42.4,78.2,60.5
9.7,87.2,46.8,59.5,63.3
9.1,95.9,70.7,56.2,67.3
2.8,63.1,58.9,51.5,47.2
1.6,65.7,80.1,81.7,69.1
1.9,98.7,75.9,53.1,49.7
1.2,63.1,86.5,75.7,54.1
1.8,93.4,78.1,55.9,64.9
7.1,77.2,63.6,79.7,76.9
1.6,66.1,77.0,88.9,60.3
3.9,94.2,55.1,86.7,58.2
8.6,75.0,56.8,85.7,80.3
1.2,78.2,83.4,51.3,61.7
8.3,71.2,64.6,45.3,64.8
3.5,81.7,83.9,81.9,64.4
2.1,62.4,85.2,62.1,56.7
7.3,72.6,87.2,65.9,71.0
6.7,98.6,90.4,41.9,71.6
8.9,66.6,63.7,55.6,71.1
7.6,84.6,57.5,42.0,63.7
8.2,69.6,72.0,92.8,70.5
3.5,89.8,60.4,54.6,61.8
2.6,60.9,73.1,73.4,58.4
7.8,98.6,78.8,42.3,72.2
8.3,75.4,77.9,80.0,81.8
9.9,65.6,60.6,59.4,61.6
4.7,58.3,49.2,93.9,58.9
4.3,62.6,63.7,93.3,60.8
8.0,78.4,47.8,59.5,53.9
4.1,70.2,89.0,94.1,73.4
9.4,92.3,59.0,99.8,91.2
8.7,74.4,48.5,89.5,61.2
4.9,66.2,41.4,90.7,57.6
7.8,82.8,75.5,54.9,71.3
7.8,86.8,75.0,74.6,74.5
1.9,62.5,58.7,44.0,43.5
9.1,62.5,43.9,45.7,50.0
5.5,56.7,62.5,99.9,67.1
8.4,88.1,57.1,59.6,63.0
3.9,84.9,77.2,84.9,58.4
9.1,76.4,73.3,88.4,83.2
4.5,93.0,60.1,91.5,71.9
1.1,91.3,52.0,99.9,59.7
9.1,81.3,94.3,54.5,77.6
1.8,94.1,65.0,42.4,55.8
3.9,64.3,77.9,64.7,60.7
9.6,60.0,47.7,47.8,62.2
9.6,67.1,66.7,41.3,62.2
6.2,57.6,41.5,61.6,57.8
6.7,78.9,67.8,87.0,72.5
5.0,97.1,93.0,74.0,75.8
3.6,56.8,61.1,58.8,45.5
4.0,60.5,42.1,79.3,53.4
7.1,75.3,41.7,53.9,51.4
7.8,97.0,61.3,40.9,60.4
8.1,69.2,48.8,85.9,62.7
8.1,77.8,41.3,77.4,58.8
1.8,56.9,81.6,85.7,69.7
5.4,61.7,65.2,42.3,59.1
1.5,99.4,55.9,90.2,69.2
5.9,98.4,89.5,77.2,71.3
5.0,,46.4,73.8,53.6
9.0,97.8,92.6,77.5,78.7
4.2,83.8,57.3,91.9,61.4
2.1,94.1,88.9,75.2,62.9
2.3,75.5,73.2,74.9,64.9
7.9,78.2,85.5,99.4,80.2
6.6,77.0,94.1,85.4,82.8
1.9,85.0,55.9,66.5,55.6
1.8,61.3,92.9,82.4,73.8
7.3,56.3,61.4,63.4,53.8
1.7,68.9,61.2,53.7,53.6
8.4,86.7,58.7,75.8,75.8
7.4,64.1,69.8,95.7,68.3
1.7,85.3,48.5,95.7,62.1
1.8,98.6,70.5,60.5,59.5
9.9,59.2,69.8,71.7,70.3
4.4,,81.9,52.7,59.1
4.3,75.0,85.9,99.7,70.4
8.3,94.1,64.2,98.9,88.4
9.5,63.0,56.6,79.0,69.0
9.9,86.2,54.3,88.3,79.2
7.8,92.7,50.7,82.9,66.2
4.4,97.5,43.2,75.6,55.6
1.8,85.7,58.8,43.2,52.7
8.0,77.4,54.9,67.3,58.8
6.0,82.8,93.2,80.5,74.3
4.8,94.1,70.7,80.7,69.0
9.2,80.7,59.1,62.4,68.6
2.0,56.4,71.9,96.5,59.4
5.4,96.9,47.7,50.0,57.9
1.1,86.0,64.4,70.0,57.8
5.2,85.4,74.4,81.5,72.8
1.5,64.7,66.9,81.8,51.0
2.1,84.6,62.1,78.9,56.9
2.1,72.7,94.7,56.5,65.6
6.8,84.3,88.4,49.4,73.0
7.7,59.8,74.3,78.2,63.4
6.3,84.6,71.3,76.0,71.1
9.7,100.0,74.1,50.8,65.4
4.4,57.2,51.1,82.3,56.1
3.6,99.0,61.7,67.3,69.6
8.8,73.3,42.2,80.1,61.0
3.0,94.2,66.2,90.2,62.2
9.7,90.2,69.9,50.2,74.5
1.1,80.5,52.5,41.1,36.0
9.7,88.2,93.0,86.7,83.9
1.4,94.5,90.0,76.6,68.9
9.0,73.2,79.7,82.0,74.5
5.7,69.7,69.3,90.3,67.4
9.9,85.0,87.8,88.2,88.8
1.7,91.4,47.2,97.7,60.7
6.0,89.3,83.5,72.2,73.6
9.7,90.9,46.9,69.3,67.6
5.7,74.6,83.7,64.1,68.8
6.7,91.8,55.2,49.2,59.6
7.3,60.4,88.2,74.4,74.1
5.1,79.5,91.9,56.6,65.0
6.6,55.3,48.2,95.3,61.9
6.3,69.6,65.4,75.0,60.3
9.1,71.5,94.0,75.6,79.8
1.4,72.8,66.6,61.3,47.8
3.5,86.3,87.5,43.1,55.2
9.6,72.5,72.4,41.9,67.5
9.0,75.2,60.6,65.4,68.8
5.1,65.7,55.7,45.1,54.6
6.6,71.8,51.2,76.4,60.0
3.5,65.2,81.9,92.9,69.1
2.7,58.3,61.3,93.0,60.6
5.2,82.2,68.1,79.5,68.5
4.2,85.1,67.1,52.7,54.1
6.3,82.9,71.8,91.8,73.9
1.7,75.9,87.6,93.2,68.6
9.8,72.1,93.9,51.8,75.7
9.9,93.9,62.4,84.2,69.1
7.3,78.4,85.5,57.2,70.8
5.8,76.6,82.0,88.2,83.2
3.8,56.2,71.5,99.8,63.3
8.3,70.4,92.6,41.8,65.9
7.2,72.1,51.0,93.8,69.2
2.5,72.9,46.0,77.4,53.2
9.2,81.1,87.0,98.4,90.9
8.4,79.0,64.2,67.9,63.3
9.5,82.4,86.6,90.8,87.7
7.5,89.4,89.1,43.7,72.9
6.5,91.6,43.4,60.1,58.2
4.8,87.3,88.6,44.0,65.4
9.4,98.0,64.7,98.5,87.0
8.8,,68.1,89.0,76.0
1.4,63.8,74.5,91.2,54.6
1.2,55.3,91.0,96.3,67.7
4.4,84.1,41.1,45.1,48.1
8.3,95.4,66.2,63.1,71.4
9.9,66.0,77.8,44.3,68.4
2.4,96.7,79.7,52.6,59.1
6.3,57.7,78.1,53.8,66.5
4.4,97.0,47.4,68.1,58.0
9.7,70.8,56.5,56.1,60.0
8.6,59.6,59.7,46.1,57.3
8.5,76.9,84.2,50.0,71.1
5.2,66.6,55.3,48.8,57.7
4.7,67.8,51.6,98.4,65.3
3.5,68.8,92.7,85.6,65.5
1.5,91.1,,98.1,67.6
8.8,79.3,94.9,66.4,79.9
8.3,69.0,77.2,56.7,73.8
10.0,82.5,85.6,87.9,83.8
10.0,87.2,56.2,59.6,71.9
6.0,67.3,40.8,58.0,55.8
7.9,73.6,80.6,54.0,73.8
9.5,60.5,85.9,47.8,74.3
8.6,63.2,80.7,55.4,72.3
3.2,85.7,47.9,61.3,50.7
5.1,63.2,81.4,,64.5
2.2,78.6,82.3,43.8,56.1
9.6,86.9,76.2,52.6,77.0
6.5,59.8,82.1,88.5,70.8
3.1,80.5,86.5,48.8,64.3
7.0,66.5,73.7,60.6,71.2
6.6,98.3,44.9,91.9,64.5
4.2,76.8,66.8,49.3,51.7
2.0,91.3,44.3,45.0,44.7
7.0,79.8,62.4,69.1,67.1
5.7,57.0,62.4,58.1,53.7
8.0,83.5,43.6,73.8,70.2
5.7,97.8,59.2,88.2,71.9
8.7,82.1,46.1,48.2,60.0
6.0,91.9,84.5,74.8,67.3
6.0,94.8,92.1,70.3,69.5
8.9,65.3,44.0,48.6,57.9
4.6,64.5,92.5,77.4,59.2
2.2,82.5,68.7,56.4,59.0
1.3,73.5,56.5,69.3,49.7
7.8,92.8,44.2,44.9,72.9
6.6,95.5,67.5,67.6,79.2
7.3,70.9,83.7,58.4,67.7
2.9,65.7,78.9,89.3,63.7
2.2,90.1,42.8,43.4,49.2
1.1,67.4,44.0,65.1,51.7
4.2,92.0,62.2,67.5,54.0
6.3,74.1,56.2,83.5,56.9
4.5,85.0,52.8,74.5,56.9
4.9,59.3,55.5,80.0,60.7
9.1,83.1,84.2,86.6,84.1
4.1,75.3,91.1,91.7,77.6
5.6,81.4,62.3,58.8,55.0
8.1,62.6,89.8,72.3,63.7
4.6,88.2,57.7,90.4,69.8
6.6,93.8,66.2,99.4,72.4
8.8,64.8,52.4,93.4,61.0
9.5,59.3,75.2,62.3,70.4
2.3,56.1,93.8,51.7,59.8
9.3,83.9,73.2,69.4,74.3
5.4,82.3,59.7,84.5,63.7
3.3,79.6,75.6,69.6,61.0
5.1,65.4,46.8,69.0,52.6
9.8,72.6,88.9,90.3,77.8
5.4,81.8,67.7,61.7,59.1
4.0,77.4,64.7,91.6,67.4
6.7,99.5,72.2,64.4,71.9
3.2,61.1,74.4,59.7,56.0
1.7,86.3,43.9,67.2,44.8
2.2,73.2,,85.7,61.9
2.2,74.3,53.3,47.6,36.3
2.4,87.3,79.3,51.8,58.5
2.2,86.2,85.2,97.1,76.6
6.8,99.6,84.2,50.5,64.1
2.6,60.8,70.4,74.1,53.7
4.1,59.7,68.6,74.8,60.5
,87.6,47.9,69.4,73.1
5.3,81.0,82.6,78.7,68.7
7.0,67.3,54.9,53.8,54.3
2.6,58.6,67.3,73.2,45.9
2.7,58.9,55.6,62.3,49.3
1.4,95.2,47.4,79.7,63.6
2.5,63.6,74.6,48.5,52.7
3.5,69.6,43.0,74.3,51.6
2.6,65.2,81.2,51.1,56.0
1.8,71.0,57.5,56.7,48.1
2.1,58.1,40.0,53.1,36.7
5.1,78.4,68.1,51.0,62.2
2.9,58.0,42.6,89.5,53.0
4.3,91.0,55.2,57.1,56.8
5.5,65.5,78.9,95.6,67.1
7.2,79.3,43.4,98.2,73.5
1.4,94.6,86.2,74.3,67.5
8.2,84.3,40.2,48.6,54.9
6.7,79.0,53.6,62.5,65.2
1.7,69.6,80.7,87.9,60.2
8.9,70.0,57.4,62.0,61.4
9.3,85.1,45.6,45.2,57.3
1.5,99.7,59.8,73.4,49.6
3.5,84.8,54.9,90.7,64.2
8.3,80.1,86.3,87.8,72.3
7.7,87.9,57.2,50.5,57.0
2.7,75.9,83.4,80.4,55.4
2.9,57.7,89.1,53.2,56.4
4.3,80.3,63.9,53.1,55.7
5.4,98.1,90.0,92.4,78.2
6.6,62.9,60.8,55.0,53.1
4.3,86.1,93.0,55.8,61.5
5.2,64.0,44.9,40.0,48.5
7.7,79.1,77.8,92.2,75.1
1.3,59.4,67.2,87.6,57.0
3.3,75.3,61.3,77.6,54.6
7.4,89.0,74.8,85.0,76.8
9.1,70.6,78.7,49.1,74.5
5.6,84.9,40.2,67.5,59.2
5.8,90.8,49.2,61.1,57.3
2.0,96.7,79.2,45.6,58.1
5.0,65.6,76.7,69.2,62.0
5.8,73.0,93.1,95.2,77.7
3.2,61.9,81.9,42.4,51.9
3.4,99.7,92.3,57.5,66.8
4.4,96.7,78.6,52.5,64.7
1.2,79.3,56.4,54.3,42.9
3.9,92.9,45.8,94.5,58.1
2.9,78.4,83.0,68.1,56.2
3.9,83.1,75.4,68.0,56.0
2.1,59.0,42.7,85.6,44.0
9.0,89.0,59.8,49.3,66.8
6.3,60.7,92.6,69.2,65.8
7.1,92.2,67.5,65.8,71.2
8.1,90.2,63.8,75.8,72.3
5.5,86.9,65.2,100.0,63.4
1.8,56.6,51.5,86.2,54.1
5.8,68.6,60.3,63.9,62.8
6.3,66.8,60.3,89.7,61.9
7.7,71.2,42.9,50.2,57.1
4.9,58.9,82.2,41.8,52.6
2.1,97.2,62.9,52.3,54.5
3.6,79.9,85.2,60.4,57.3
4.3,68.7,86.8,70.6,57.4
6.8,72.9,51.7,76.9,61.1
6.1,75.1,76.2,94.6,72.9
4.2,82.0,66.0,70.6,59.7
9.9,78.2,88.4,70.1,74.6
6.5,96.4,51.9,43.0,56.2
3.1,77.4,77.3,42.1,55.7
1.9,99.6,73.4,73.1,62.2
2.4,93.3,56.2,66.3,56.3
3.2,64.4,47.5,90.4,52.5
2.4,96.9,75.8,49.6,63.1
2.7,60.2,80.6,41.5,46.0
3.6,91.8,57.4,66.9,60.6
2.6,72.1,75.5,54.2,60.2
9.1,94.5,61.7,43.0,68.5
1.7,94.1,79.2,83.5,64.4
5.7,91.3,51.0,46.7,53.6
4.7,90.6,89.0,76.5,77.1
9.8,68.7,55.8,56.9,58.5
2.0,58.6,60.2,50.4,41.2
4.6,73.1,43.2,62.8,50.1
9.7,62.8,46.1,88.1,74.1
8.8,86.3,68.4,63.5,73.0
8.4,70.6,54.7,85.0,64.5
3.3,98.9,,47.5,61.3
2.5,83.8,40.8,86.4,51.7
7.0,92.0,60.9,54.2,60.6
9.4,61.0,58.6,80.6,73.8
6.0,93.8,41.1,73.9,54.7
6.1,96.5,46.8,95.7,76.0
3.5,76.9,62.8,63.2,59.9
7.9,82.3,67.1,44.0,68.2
2.7,89.4,62.2,41.1,48.9
3.9,62.9,69.2,89.6,62.4
4.8,77.6,72.7,71.5,57.8
5.6,72.9,40.5,86.5,56.9
3.2,61.6,65.5,54.1,53.5
2.0,71.5,93.0,60.7,66.2
6.5,58.1,68.5,41.8,50.8
3.6,56.2,77.3,97.7,64.0
6.2,61.1,57.2,80.1,61.1
